[run] loading refdrone 'val' subset (n=all)...
[run] 439 samples; building jetson backend (/home/jfdg/grounding/phase3-terse100eos-1024-q8_0.gguf) max_side=1024...
[run] evaluating...
  [jetson] 390/439  parsed=390  gate_hits=249
  [jetson] 391/439  parsed=391  gate_hits=249
  [jetson] 392/439  parsed=392  gate_hits=249
  [jetson] 393/439  parsed=393  gate_hits=250
  [jetson] 394/439  parsed=394  gate_hits=251
  [jetson] 395/439  parsed=395  gate_hits=252
  [jetson] 396/439  parsed=396  gate_hits=252
  [jetson] 397/439  parsed=397  gate_hits=252
  [jetson] 398/439  parsed=398  gate_hits=253
  [jetson] 399/439  parsed=399  gate_hits=254
  [jetson] 400/439  parsed=400  gate_hits=255
  [jetson] 401/439  parsed=401  gate_hits=256
  [jetson] 402/439  parsed=402  gate_hits=257
  [jetson] 403/439  parsed=403  gate_hits=258
  [jetson] 404/439  parsed=404  gate_hits=259
  [jetson] 405/439  parsed=405  gate_hits=260
  [jetson] 406/439  parsed=406  gate_hits=260
  [jetson] 407/439  parsed=407  gate_hits=261
  [jetson] 408/439  parsed=408  gate_hits=262
  [jetson] 409/439  parsed=409  gate_hits=263
  [jetson] 410/439  parsed=410  gate_hits=263
  [jetson] 411/439  parsed=411  gate_hits=264
  [jetson] 412/439  parsed=412  gate_hits=265
  [jetson] 413/439  parsed=413  gate_hits=266
  [jetson] 414/439  parsed=414  gate_hits=266
  [jetson] 415/439  parsed=415  gate_hits=266
  [jetson] 416/439  parsed=416  gate_hits=267
  [jetson] 417/439  parsed=417  gate_hits=268
  [jetson] 418/439  parsed=418  gate_hits=268
  [jetson] 419/439  parsed=419  gate_hits=268
  [jetson] 420/439  parsed=420  gate_hits=268
  [jetson] 421/439  parsed=421  gate_hits=268
  [jetson] 422/439  parsed=422  gate_hits=269
  [jetson] 423/439  parsed=423  gate_hits=269
  [jetson] 424/439  parsed=424  gate_hits=270
  [jetson] 425/439  parsed=425  gate_hits=271
  [jetson] 426/439  parsed=426  gate_hits=271
  [jetson] 427/439  parsed=427  gate_hits=271
  [jetson] 428/439  parsed=428  gate_hits=272
  [jetson] 429/439  parsed=429  gate_hits=273
  [jetson] 430/439  parsed=430  gate_hits=274
  [jetson] 431/439  parsed=431  gate_hits=274
  [jetson] 432/439  parsed=432  gate_hits=275
  [jetson] 433/439  parsed=433  gate_hits=275
  [jetson] 434/439  parsed=434  gate_hits=276
  [jetson] 435/439  parsed=435  gate_hits=276
  [jetson] 436/439  parsed=436  gate_hits=276
  [jetson] 437/439  parsed=437  gate_hits=276
  [jetson] 438/439  parsed=438  gate_hits=276
  [jetson] 439/439  parsed=439  gate_hits=277
[run] DONE  n=439  parse_rate=100.0%  iou@0.25=63.1%  mean_iou=0.477  center_std=21.9
[run] manifest -> runs/20260626T040441Z
