[clip14 WARM lag0 j12] t_handoff=0.298 steps=100/100 iou=0.5257 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1214, 'drain': 0.1765}
[clip14 WARM lag4.85 j12] t_handoff=0.5118 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1207, 'drain': 0.3912}
[clip15 WARM lag0 j12] t_handoff=0.2977 steps=100/100 iou=0.7215 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1156, 'drain': 0.1821}
[clip15 WARM lag4.85 j12] t_handoff=0.5149 steps=103/100 iou=0.7036 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1186, 'drain': 0.3964}
[clip16 WARM lag0 j12] t_handoff=0.3015 steps=100/65 iou=0.0 on_target=0.1846 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1197, 'drain': 0.1818}
[clip16 WARM lag4.85 j12] t_handoff=0.516 steps=103/40 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1222, 'drain': 0.3938}
[clip17 WARM lag0 j12] t_handoff=0.2976 steps=100/100 iou=0.6745 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1159, 'drain': 0.1818}
[clip17 WARM lag4.85 j12] t_handoff=0.5104 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1207, 'drain': 0.3897}
[clip18 WARM lag0 j12] t_handoff=0.2958 steps=100/100 iou=0.5019 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1148, 'drain': 0.181}
[clip18 WARM lag4.85 j12] t_handoff=0.5135 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1185, 'drain': 0.395}
[clip19 WARM lag0 j12] t_handoff=0.2979 steps=100/100 iou=0.0 on_target=0.07 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1211, 'drain': 0.1768}
[clip19 WARM lag4.85 j12] t_handoff=0.5094 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1179, 'drain': 0.3915}
[clip20 WARM lag0 j12] t_handoff=0.3002 steps=100/100 iou=0.673 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1153, 'drain': 0.1849}
[clip20 WARM lag4.85 j12] t_handoff=0.5128 steps=103/100 iou=0.633 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1184, 'drain': 0.3944}
[clip21 WARM lag0 j12] t_handoff=0.2956 steps=100/100 iou=0.7627 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1194, 'drain': 0.1762}
[clip21 WARM lag4.85 j12] t_handoff=0.51 steps=103/100 iou=0.7883 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1204, 'drain': 0.3897}
[clip22 WARM lag0 j12] t_handoff=0.2992 steps=100/100 iou=0.0 on_target=0.17 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1176, 'drain': 0.1816}
[clip22 WARM lag4.85 j12] t_handoff=0.5093 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.118, 'drain': 0.3913}
[clip23 WARM lag0 j12] t_handoff=0.2976 steps=100/100 iou=0.7361 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1193, 'drain': 0.1783}
[clip23 WARM lag4.85 j12] t_handoff=0.533 steps=103/100 iou=0.1411 on_target=0.42 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1433, 'drain': 0.3897}
[clip24 WARM lag0 j12] t_handoff=0.2998 steps=100/100 iou=0.7666 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1479, 'drain': 0.1519}
[clip24 WARM lag4.85 j12] t_handoff=0.5373 steps=103/100 iou=0.7755 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1463, 'drain': 0.3909}
wrote runs/p67/matrix/results.json (100 cells)
