06-14-2026 12:54:02 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.812C soc2@60.781C soc0@58.5C gpu@63.062C tj@63.062C soc1@59.968C VDD_IN 12478mW/11202mW VDD_CPU_GPU_CV 4998mW/4375mW VDD_SOC 2566mW/2312mW
06-14-2026 12:54:03 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.781C soc2@60.75C soc0@58.437C gpu@63.031C tj@63.031C soc1@60.062C VDD_IN 12478mW/11225mW VDD_CPU_GPU_CV 4998mW/4386mW VDD_SOC 2566mW/2316mW
06-14-2026 12:54:04 RAM 1595/7607MB (lfb 6x4MB) SWAP 219/3804MB (cached 0MB) CPU [10%@1510,4%@1510,16%@1510,39%@1510,15%@1510,24%@1510] GR3D_FREQ 0% cpu@61.875C soc2@60.375C soc0@58.25C gpu@61.812C tj@61.937C soc1@60.093C VDD_IN 7447mW/11160mW VDD_CPU_GPU_CV 2294mW/4350mW VDD_SOC 1703mW/2306mW
06-14-2026 12:54:05 RAM 1720/7607MB (lfb 1x2MB) SWAP 219/3804MB (cached 0MB) CPU [3%@1510,29%@1510,3%@1510,66%@1510,0%@1510,4%@1510] GR3D_FREQ 0% cpu@61.625C soc2@60.156C soc0@58.125C gpu@61.406C tj@61.625C soc1@60.093C VDD_IN 6190mW/11075mW VDD_CPU_GPU_CV 1545mW/4302mW VDD_SOC 1505mW/2292mW
06-14-2026 12:54:06 RAM 2687/7607MB (lfb 1x2MB) SWAP 219/3804MB (cached 0MB) CPU [5%@1510,4%@1510,92%@1510,2%@1510,0%@1510,1%@1510] GR3D_FREQ 38% cpu@61.562C soc2@60.062C soc0@58.062C gpu@61.5C tj@61.562C soc1@59.968C VDD_IN 6388mW/10997mW VDD_CPU_GPU_CV 1545mW/4256mW VDD_SOC 1584mW/2280mW
06-14-2026 12:54:07 RAM 3035/7607MB (lfb 1x2MB) SWAP 219/3804MB (cached 0MB) CPU [56%@1510,0%@1510,0%@1510,0%@1510,1%@1510,0%@1510] GR3D_FREQ 99% cpu@61.343C soc2@60.156C soc0@58.093C gpu@62.125C tj@62.125C soc1@60.125C VDD_IN 9428mW/10971mW VDD_CPU_GPU_CV 3711mW/4247mW VDD_SOC 1901mW/2274mW
06-14-2026 12:54:08 RAM 3047/7607MB (lfb 1x2MB) SWAP 219/3804MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.468C soc2@60.343C soc0@58.062C gpu@62.375C tj@62.375C soc1@59.875C VDD_IN 10577mW/10965mW VDD_CPU_GPU_CV 4738mW/4255mW VDD_SOC 1977mW/2269mW
06-14-2026 12:54:09 RAM 3050/7607MB (lfb 1x2MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,4%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.468C soc2@60.437C soc0@58.156C gpu@62.406C tj@62.406C soc1@59.906C VDD_IN 10775mW/10962mW VDD_CPU_GPU_CV 4896mW/4265mW VDD_SOC 1977mW/2265mW
06-14-2026 12:54:10 RAM 3050/7607MB (lfb 1x2MB) SWAP 219/3804MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.562C soc2@60.437C soc0@58.125C gpu@62.562C tj@62.562C soc1@59.968C VDD_IN 10815mW/10960mW VDD_CPU_GPU_CV 4896mW/4275mW VDD_SOC 1977mW/2260mW
06-14-2026 12:54:11 RAM 3063/7607MB (lfb 1x2MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,16%@1510,1%@1510,0%@1510,3%@1510] GR3D_FREQ 99% cpu@61.656C soc2@60.5C soc0@58.125C gpu@62.687C tj@62.687C soc1@60.031C VDD_IN 11826mW/10973mW VDD_CPU_GPU_CV 4770mW/4283mW VDD_SOC 2408mW/2262mW
