07-02-2026 09:41:18 RAM 3743/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,22%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.375C soc2@60C soc0@57.937C gpu@62.343C tj@62.343C soc1@59.718C VDD_IN 12043mW/9797mW VDD_CPU_GPU_CV 4959mW/3652mW VDD_SOC 2408mW/2047mW
07-02-2026 09:41:19 RAM 3745/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,27%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.656C soc2@60.218C soc0@57.937C gpu@62.125C tj@62.125C soc1@59.781C VDD_IN 11905mW/9843mW VDD_CPU_GPU_CV 4880mW/3678mW VDD_SOC 2369mW/2054mW
07-02-2026 09:41:20 RAM 3745/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,15%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.375C soc2@60.187C soc0@58C gpu@62.437C tj@62.437C soc1@59.937C VDD_IN 12083mW/9891mW VDD_CPU_GPU_CV 5116mW/3709mW VDD_SOC 2369mW/2060mW
07-02-2026 09:41:21 RAM 3749/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,27%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.468C soc2@60.343C soc0@58.218C gpu@62.25C tj@62.25C soc1@59.812C VDD_IN 12043mW/9936mW VDD_CPU_GPU_CV 4880mW/3733mW VDD_SOC 2408mW/2068mW
07-02-2026 09:41:22 RAM 3751/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,25%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.781C soc2@60.437C soc0@58.093C gpu@62.406C tj@62.406C soc1@59.875C VDD_IN 11905mW/9976mW VDD_CPU_GPU_CV 4880mW/3757mW VDD_SOC 2369mW/2074mW
07-02-2026 09:41:23 RAM 3751/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,1%@1510,0%@1510,17%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@61.625C soc2@60.5C soc0@58.187C gpu@62.593C tj@62.593C soc1@60.031C VDD_IN 12043mW/10017mW VDD_CPU_GPU_CV 5038mW/3782mW VDD_SOC 2369mW/2080mW
07-02-2026 09:41:24 RAM 3755/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [9%@1510,0%@1510,0%@1510,16%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.843C soc2@60.656C soc0@58.406C gpu@62.656C tj@62.656C soc1@60.062C VDD_IN 12083mW/10058mW VDD_CPU_GPU_CV 4959mW/3805mW VDD_SOC 2408mW/2086mW
07-02-2026 09:41:25 RAM 3757/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [25%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.781C soc2@60.656C soc0@58.437C gpu@62.687C tj@62.687C soc1@60.312C VDD_IN 11964mW/10094mW VDD_CPU_GPU_CV 4920mW/3827mW VDD_SOC 2369mW/2092mW
07-02-2026 09:41:26 RAM 3757/7607MB (lfb 2x2MB) SWAP 256/3804MB (cached 1MB) CPU [20%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 86% cpu@61.843C soc2@60.718C soc0@58.531C gpu@62.718C tj@62.718C soc1@60.281C VDD_IN 11925mW/10129mW VDD_CPU_GPU_CV 4998mW/3849mW VDD_SOC 2329mW/2096mW
07-02-2026 09:41:27 RAM 2557/7607MB (lfb 1x4MB) SWAP 256/3804MB (cached 1MB) CPU [57%@1510,0%@1510,0%@1510,15%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@61.968C soc2@60.437C soc0@58.437C gpu@61.687C tj@61.968C soc1@60.312C VDD_IN 7396mW/10078mW VDD_CPU_GPU_CV 2132mW/3817mW VDD_SOC 1700mW/2089mW
