t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
8.462,0.00,0.00,-10.00,19.92,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.513,0.00,0.00,-10.00,20.03,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.4
8.563,0.00,0.00,-10.00,20.13,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.613,0.00,0.00,-10.00,20.23,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.663,0.00,0.00,-10.00,20.33,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.713,0.00,0.00,-10.00,20.43,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.4
8.763,0.00,0.00,-10.00,20.53,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.813,0.00,0.00,-10.00,20.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.863,0.00,0.00,-10.00,20.73,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.914,0.00,0.00,-10.00,20.83,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.964,0.00,0.00,-10.00,20.93,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.014,0.00,0.00,-10.00,21.03,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.064,0.00,0.00,-10.00,21.13,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.114,0.00,0.00,-10.00,21.23,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.164,0.00,0.00,-10.00,21.33,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.214,0.00,0.00,-10.00,21.43,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.264,0.00,0.00,-10.00,21.53,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.314,0.00,0.00,-10.00,21.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.364,0.00,0.00,-10.00,21.73,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.414,0.00,0.00,-10.00,21.83,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.464,0.00,0.00,-10.00,21.93,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.514,0.00,0.00,-10.00,22.03,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.564,0.00,0.00,-10.00,22.13,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.615,0.00,0.00,-10.00,22.23,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.665,0.00,0.00,-10.00,22.33,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.715,0.00,0.00,-10.00,22.43,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.765,0.00,0.00,-10.00,22.53,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.815,0.00,0.00,-10.00,22.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.865,0.00,0.00,-10.00,22.73,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.915,0.00,0.00,-10.00,22.83,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
9.965,0.00,0.00,-10.00,22.93,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.015,0.00,0.00,-10.00,23.03,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.065,0.00,0.00,-10.00,23.13,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.115,0.00,0.00,-10.00,23.23,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.165,0.00,0.00,-10.00,23.33,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.215,0.00,0.00,-10.00,23.43,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.265,0.00,0.00,-10.00,23.53,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.315,0.00,0.00,-10.00,23.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.366,0.00,0.00,-10.00,23.73,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.416,0.00,0.00,-10.00,23.83,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.466,0.00,0.00,-10.00,23.93,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.516,0.00,0.00,-10.00,24.03,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.566,0.00,0.00,-10.00,24.13,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.616,0.00,0.00,-10.00,24.23,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.0
10.666,0.00,0.00,-10.00,24.33,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.716,0.00,0.00,-10.00,24.43,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.766,0.00,0.00,-10.00,24.53,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.816,0.00,0.00,-10.00,24.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.866,0.00,0.00,-10.00,24.73,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.916,0.00,0.00,-10.00,24.83,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
10.966,0.00,0.00,-10.00,24.93,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.016,0.00,0.00,-10.00,25.03,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.066,0.00,0.00,-10.00,25.13,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.117,0.00,0.00,-10.00,25.23,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.167,0.00,0.00,-10.00,25.33,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.217,0.00,0.00,-10.00,25.43,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.267,0.00,0.00,-10.00,25.53,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.317,0.00,0.00,-10.00,25.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.367,0.00,0.00,-10.00,25.73,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.417,0.00,0.00,-10.00,25.83,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.467,0.00,0.00,-10.00,25.93,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.517,0.00,0.00,-10.00,26.03,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.567,0.00,0.00,-10.00,26.13,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.617,0.00,0.00,-10.00,26.23,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.667,0.00,0.00,-10.00,26.33,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.717,0.00,0.00,-10.00,26.43,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.767,0.00,0.00,-10.00,26.53,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.817,0.00,0.00,-10.00,26.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
11.868,0.00,0.00,-10.00,26.74,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
