seq,tid,n_frames,n_labeled,mean_iou,iou_at_25,iou_at_50,id_consistency,pred_absent_frac,n_gaps,n_recovered,wall_s,fps
uav0000306_00230_v,72,300,300,0.5025483842829942,0.9866666666666667,0.5233333333333333,1.0,0.0,0,0,21.63,13.87
uav0000306_00230_v,99,300,100,0.6152189581907614,1.0,0.97,1.0,0.0,1,0,21.38,14.03
uav0000307_00000_v,48,300,300,0.6971741595722059,1.0,1.0,1.0,0.0,0,0,22.29,13.46
uav0000307_00000_v,4,300,115,0.7371164336832657,1.0,1.0,1.0,0.0,1,0,21.97,13.66
uav0000308_00000_v,2,230,230,0.014300234008637945,0.017391304347826087,0.008695652173913044,0.03070175438596491,0.0,0,0,17.02,13.51
uav0000308_00000_v,25,230,230,0.9003667255981472,1.0,1.0,1.0,0.0,0,0,16.7,13.77
uav0000308_01380_v,8,185,185,0.6724454393005103,1.0,0.9297297297297298,1.0,0.0,0,0,13.52,13.68
uav0000308_01380_v,32,185,175,0.6427455709353483,0.9714285714285714,0.8857142857142857,0.9942528735632183,0.005714285714285714,1,0,13.35,13.86
uav0000309_00000_v,24,300,300,0.5240953847343202,0.98,0.68,0.7804054054054054,0.013333333333333334,0,0,22.2,13.51
uav0000309_00000_v,191,300,244,0.5668664171522599,0.9016393442622951,0.5942622950819673,1.0,0.0,1,0,21.94,13.68
uav0000315_00000_v,124,300,300,0.6081066396940428,0.9833333333333333,0.86,1.0,0.0,0,0,22.24,13.49
uav0000315_00000_v,123,300,245,0.29363463882592566,0.37142857142857144,0.33877551020408164,1.0,0.5428571428571428,1,0,21.95,13.66
uav0000316_01288_v,3,127,127,0.5929995114478409,1.0,0.7795275590551181,0.7086614173228346,0.0,0,0,9.33,13.61
uav0000316_01288_v,4,127,127,0.649945313876773,1.0,0.968503937007874,0.8188976377952756,0.0,0,0,9.2,13.81
uav0000323_01173_v,38,300,300,0.7648734958091367,1.0,1.0,1.0,0.0,0,0,21.74,13.8
uav0000323_01173_v,9,300,272,0.3847074483539264,0.6875,0.3786764705882353,0.4980392156862745,0.0,1,0,22.06,13.6
uav0000326_01035_v,32,300,300,0.8448535866933236,1.0,1.0,1.0,0.0,0,0,22.31,13.44
